metric,method_a,method_b,n_pairs,mean_a,std_a,mean_b,std_b,mean_diff,diff_ci_low,diff_ci_high,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,shapiro_p_value,normality_ok,cohens_dz,cliffs_delta,preferred_test,preferred_p,p_adjusted,significant,effect_below_noise,rate_bpp,power
psnr,AMDT,GA-FT,1000,61.2272023058075,0.01454654723099388,61.1613738559823,0.20781642299923733,0.06582844982520195,0.056069670003791726,0.08045236116382094,10.02132527510701,1.3735554039400725e-22,213.0,6.302669103591132e-165,1.358705008800844e-56,False,0.3169021304275163,0.988685,Wilcoxon signed-rank,6.302669103591132e-165,1.995513225669455e-164,True,True,0.1,1.0
ssim,AMDT,GA-FT,1000,0.9995591670476449,0.0001556230902609314,0.9994911022535222,0.00018439590659765105,6.806479412276489e-05,5.889361623838539e-05,7.730448098940949e-05,14.470511198918183,3.163041352423103e-43,124738.0,5.941443356321163e-43,1.6220755339750043e-18,False,0.4575977429555532,0.277478,Wilcoxon signed-rank,5.941443356321163e-43,1.1882886712642325e-42,True,True,0.1,1.0
ssim,AMDT,LSB,1000,0.9995591670476449,0.0001556230902609314,0.9994870400040615,0.00018597323731821562,7.212704358341659e-05,6.312276334267109e-05,8.13120126289778e-05,15.298341236113693,1.2620025978004569e-47,118125.0,2.0839078560229253e-47,2.518218200948367e-19,False,0.48377602728595037,0.289622,Wilcoxon signed-rank,2.0839078560229253e-47,6.251723568068776e-47,True,True,0.1,1.0
ssim,AMDT,LSB-M,1000,0.9995591670476449,0.0001556230902609314,0.9995439095136017,0.00014144554133552531,1.525753404320418e-05,1.1614075560716186e-05,1.8756112593781136e-05,8.48675539476653,7.593423635030848e-17,146753.0,9.424059325152771e-30,4.6916653014843665e-31,False,0.26837476992183673,0.074334,Wilcoxon signed-rank,9.424059325152771e-30,9.424059325152771e-30,True,True,0.1,1.0
mse,AMDT,GA-FT,1000,0.0490187873840332,0.0001641424885220414,0.04985155487060547,0.004301582205521205,-0.0008327674865722657,-0.0011422269821166993,-0.0006369244575500488,-6.128720486679846,1.2732061056795956e-09,212.0,6.265310056463623e-165,5.684737196772802e-57,False,-0.19380715880443958,-0.988685,Wilcoxon signed-rank,6.265310056463623e-165,1.9950416861949873e-164,True,True,0.1,1.0
embedding_efficiency,AMDT,GA-FT,1000,2.040025880225496,0.006834873740727998,2.0148903949183468,0.02948211243056576,0.025135485307149114,0.02305758184086889,0.026711943787958888,25.936350237362028,8.22602355030029e-114,2212.0,2.4748622797928727e-162,1.4425763020817643e-53,False,0.8201794094191278,0.984685,Wilcoxon signed-rank,2.4748622797928727e-162,4.949724559585745e-162,True,True,0.1,1.0
embedding_efficiency,AMDT,PVD,1000,2.040025880225496,0.006834873740727998,1.981575444315979,0.06778099052663707,0.058450435909517255,0.05419998402821761,0.06263136679697741,27.16423714509851,4.011630081743168e-122,56475.0,7.546042731972702e-100,4.5056376077594295e-34,False,0.8590086027946111,0.756262,Wilcoxon signed-rank,7.546042731972702e-100,7.546042731972702e-100,True,True,0.1,1.0
psnr,AMDT,GA-FT,1000,55.17113485251966,0.00712737601994955,55.135723054364036,0.11944893901834369,0.03541179815562551,0.031148488813789392,0.043454407128496714,9.339837428784303,6.086256813207103e-20,3.0,3.355946138042403e-165,5.189358621419168e-57,False,0.2953515925064908,0.997866,Wilcoxon signed-rank,3.355946138042403e-165,1.9955154713607082e-164,True,True,0.4,1.0
ssim,AMDT,GA-FT,1000,0.9982188722311466,0.0006152991251454083,0.9980161371971547,0.0007013897761381683,0.00020273503399190483,0.00017569097713564566,0.0002304382908038611,14.62378793982159,4.98061349338166e-44,109537.0,1.5676883523697528e-53,4.1626201949585766e-24,False,0.4624447790913758,0.219756,Wilcoxon signed-rank,1.5676883523697528e-53,3.1353767047395055e-53,True,True,0.4,1.0
ssim,AMDT,LSB,1000,0.9982188722311466,0.0006152991251454083,0.9980096122909327,0.0006938279124457739,0.00020925994021398297,0.0001823365979795649,0.0002360403857387807,15.434559281070658,2.305215646644023e-48,104821.0,4.677189130925349e-57,3.2410587893719586e-22,False,0.4880836200907427,0.22786,Wilcoxon signed-rank,4.677189130925349e-57,1.4031567392776046e-56,True,True,0.4,1.0
