metric,method_a,method_b,n_pairs,mean_a,std_a,mean_b,std_b,mean_diff,diff_ci_low,diff_ci_high,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,shapiro_p_value,normality_ok,cohens_dz,cliffs_delta,preferred_test,preferred_p,p_adjusted,significant,effect_below_noise,rate_bpp,power
psnr,AMDT,EA-LSB,1000,61.2272023058075,0.01454654723099388,61.1410315115119,0.02807086401748156,0.086170794295597,0.0842559309874882,0.08810230333617312,86.57479474538482,0.0,5.0,3.3761322123595366e-165,0.28426213537744793,True,2.737735393569932,0.994567,paired t-test,0.0,0.0,True,False,0.1,1.0
psnr,AMDT,GA-FT,1000,61.2272023058075,0.01454654723099388,61.1613738559823,0.20781642299923733,0.06582844982520195,0.056069670003791726,0.08045236116382094,10.02132527510701,1.3735554039400725e-22,213.0,6.302669103591132e-165,1.358705008800844e-56,False,0.3169021304275163,0.988685,Wilcoxon signed-rank,6.302669103591132e-165,1.995513225669455e-164,True,True,0.1,1.0
psnr,AMDT,HILL,1000,61.2272023058075,0.01454654723099388,66.09379320705551,0.7923272953269692,-4.866590901248021,-4.9157102469280956,-4.816399459622451,-194.20593354579148,0.0,0.0,3.325855376115759e-165,3.8763962028183525e-10,False,-6.141330851240013,-1.0,Wilcoxon signed-rank,3.325855376115759e-165,1.995513225669455e-164,True,False,0.1,1.0
psnr,AMDT,LSB,1000,61.2272023058075,0.01454654723099388,61.1421873356212,0.0269203316598425,0.0850149701863013,0.08314473475883756,0.0869194419866483,88.40683900020937,0.0,6.0,3.386303066315896e-165,0.7568719577192862,True,2.795669719764647,0.992927,paired t-test,0.0,0.0,True,False,0.1,1.0
psnr,AMDT,LSB-M,1000,61.2272023058075,0.01454654723099388,61.14232768695945,0.02742264331323199,0.08487461884805413,0.08298004644896724,0.08677604106899399,86.07743656814671,0.0,73.0,4.1407296056761295e-165,0.39971579369240945,True,2.72200754704011,0.992166,paired t-test,0.0,0.0,True,False,0.1,1.0
psnr,AMDT,MiPOD-lite,1000,61.2272023058075,0.01454654723099388,64.36468437519916,0.602408290586544,-3.1374820693916474,-3.174450741346069,-3.100305080581552,-164.62840282667437,0.0,0.0,3.3258572475243253e-165,1.2238355967054775e-08,False,-5.206007204879932,-1.0,Wilcoxon signed-rank,3.3258572475243253e-165,1.995513225669455e-164,True,False,0.1,1.0
psnr,AMDT,PVD,1000,61.2272023058075,0.01454654723099388,53.86015562828233,1.9235827616620818,7.367046677525171,7.247186090557584,7.490122919105948,121.07496572913365,0.0,0.0,3.3258591189345135e-165,1.6316034685563607e-32,False,3.8287265933089154,1.0,Wilcoxon signed-rank,3.3258591189345135e-165,1.995513225669455e-164,True,False,0.1,1.0
psnr,AMDT,S-UNIWARD,1000,61.2272023058075,0.01454654723099388,66.60824824083483,0.5198168740337776,-5.381045935027334,-5.412896349650563,-5.349034245254147,-327.24373069303044,0.0,0.0,3.3258572475243253e-165,1.789434419703769e-08,False,-10.348355390007278,-1.0,Wilcoxon signed-rank,3.3258572475243253e-165,1.995513225669455e-164,True,False,0.1,1.0
psnr,AMDT,WOW,1000,61.2272023058075,0.01454654723099388,65.71542209536696,0.6764314692551571,-4.488219789559469,-4.529145814548814,-4.447306440785202,-209.77747288447034,0.0,0.0,3.325855376115759e-165,3.002880258714289e-06,False,-6.633746161091385,-1.0,Wilcoxon signed-rank,3.325855376115759e-165,1.995513225669455e-164,True,False,0.1,1.0
ssim,AMDT,EA-LSB,1000,0.9995591670476449,0.0001556230902609314,0.9998881640144857,9.844633582531921e-05,-0.0003289969668406891,-0.0003360923008844093,-0.0003220894285568451,-91.97805261808514,0.0,0.0,3.3258591189345135e-165,4.873538753375576e-17,False,-2.9086014101996236,-0.91965,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.1,1.0
ssim,AMDT,GA-FT,1000,0.9995591670476449,0.0001556230902609314,0.9994911022535222,0.00018439590659765105,6.806479412276489e-05,5.889361623838539e-05,7.730448098940949e-05,14.470511198918183,3.163041352423103e-43,124738.0,5.941443356321163e-43,1.6220755339750043e-18,False,0.4575977429555532,0.277478,Wilcoxon signed-rank,5.941443356321163e-43,1.1882886712642325e-42,True,True,0.1,1.0
ssim,AMDT,HILL,1000,0.9995591670476449,0.0001556230902609314,0.9999350721307669,4.153919474171804e-05,-0.0003759050831219206,-0.00038394137194827356,-0.00036809505966155015,-92.52493327473914,0.0,0.0,3.3258591189345135e-165,1.6370375213399026e-18,False,-2.9258952950327757,-0.986568,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.1,1.0
ssim,AMDT,LSB,1000,0.9995591670476449,0.0001556230902609314,0.9994870400040615,0.00018597323731821562,7.212704358341659e-05,6.312276334267109e-05,8.13120126289778e-05,15.298341236113693,1.2620025978004569e-47,118125.0,2.0839078560229253e-47,2.518218200948367e-19,False,0.48377602728595037,0.289622,Wilcoxon signed-rank,2.0839078560229253e-47,6.251723568068776e-47,True,True,0.1,1.0
ssim,AMDT,LSB-M,1000,0.9995591670476449,0.0001556230902609314,0.9995439095136017,0.00014144554133552531,1.525753404320418e-05,1.1614075560716186e-05,1.8756112593781136e-05,8.48675539476653,7.593423635030848e-17,146753.0,9.424059325152771e-30,4.6916653014843665e-31,False,0.26837476992183673,0.074334,Wilcoxon signed-rank,9.424059325152771e-30,9.424059325152771e-30,True,True,0.1,1.0
ssim,AMDT,MiPOD-lite,1000,0.9995591670476449,0.0001556230902609314,0.999960920454895,3.5214627594233586e-05,-0.00040175340725003114,-0.00041019731631668015,-0.00039326631885257474,-94.12886293933327,0.0,0.0,3.3258591189345135e-165,9.049815281891726e-17,False,-2.9766160045010497,-0.994144,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.1,1.0
ssim,AMDT,PVD,1000,0.9995591670476449,0.0001556230902609314,0.9979498296618758,0.000789971682039146,0.001609337385769248,0.00156417598061811,0.0016542544734138346,69.71352596859822,0.0,1.0,3.3358599511910646e-165,1.2703792143136253e-10,False,2.204535257820663,0.98217,Wilcoxon signed-rank,3.3358599511910646e-165,2.993273207041062e-164,True,False,0.1,1.0
ssim,AMDT,S-UNIWARD,1000,0.9995591670476449,0.0001556230902609314,0.999941672780195,3.789437731837218e-05,-0.00038250573255002086,-0.0003905425501019754,-0.00037444083442953906,-93.05716155507076,0.0,0.0,3.3258591189345135e-165,2.1722426786927468e-18,False,-2.9427258310428,-0.989382,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.1,1.0
ssim,AMDT,WOW,1000,0.9995591670476449,0.0001556230902609314,0.9999466863178865,3.766738244652031e-05,-0.0003875192702415864,-0.0003957680371980083,-0.00037937427838610185,-93.41452413317427,0.0,0.0,3.3258591189345135e-165,4.3595359633526015e-18,False,-2.9540266280159693,-0.990642,Wilcoxon signed-rank,3.3258591189345135e-165,2.993273207041062e-164,True,False,0.1,1.0
mse,AMDT,EA-LSB,1000,0.0490187873840332,0.0001641424885220414,0.050001873016357425,0.000323210326195781,-0.0009830856323242187,-0.0010049288749694823,-0.0009607390403747559,-86.13071016549954,0.0,5.0,3.370436229634828e-165,0.222606520438306,True,-2.7236922061079674,-0.994567,paired t-test,0.0,0.0,True,False,0.1,1.0
mse,AMDT,GA-FT,1000,0.0490187873840332,0.0001641424885220414,0.04985155487060547,0.004301582205521205,-0.0008327674865722657,-0.0011422269821166993,-0.0006369244575500488,-6.128720486679846,1.2732061056795956e-09,212.0,6.265310056463623e-165,5.684737196772802e-57,False,-0.19380715880443958,-0.988685,Wilcoxon signed-rank,6.265310056463623e-165,1.9950416861949873e-164,True,True,0.1,1.0
mse,AMDT,HILL,1000,0.0490187873840332,0.0001641424885220414,0.016257362365722658,0.003062845206811855,0.032761425018310544,0.03257321720123291,0.03294188413619995,337.8101914277018,0.0,0.0,3.325477373001218e-165,1.681446374035152e-16,False,10.682496217290252,1.0,Wilcoxon signed-rank,3.325477373001218e-165,1.9950416861949873e-164,True,False,0.1,1.0
mse,AMDT,LSB,1000,0.0490187873840332,0.0001641424885220414,0.04998848342895508,0.0003097923925698593,-0.000969696044921875,-0.000991261100769043,-0.0009482187271118164,-88.00349355857537,0.0,6.0,3.379874843104205e-165,0.7298426106395663,True,-2.7829148169705475,-0.992927,paired t-test,0.0,0.0,True,False,0.1,1.0
