payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
ascii_text,full,1,24,7.71102681986308e-31,0.08279263714243502,0.08745414870527929,,,
ascii_text,no_decomp,1,25,1.1616179929054572e-50,0.09500910643511913,0.1043070586034614,,,
ascii_text,full,1,25,1.0346318419882098e-41,0.07729350883553925,0.0820466844356004,,,
ascii_text,no_decomp,1,26,0.9202108688537546,0.10481497789694907,0.13617032024775663,,,
ascii_text,full,1,26,0.980448878575936,0.05111277911944083,0.08313245732822562,,,
ascii_text,no_decomp,1,27,0.0,0.0684834728997023,0.08013031951517574,,,
ascii_text,full,1,27,0.0,0.08396520318780074,0.10443645316515211,,,
ascii_text,no_decomp,1,28,0.11626446365982407,0.09051474955998326,0.1203053672941993,,,
ascii_text,full,1,28,0.0022591761514958453,0.04596779944035057,0.06381587308211951,,,
ascii_text,cover,1,0,0.0,0.04022995370688525,0.01780475834231718,,,
ascii_text,cover,1,1,1.4600621832478588e-08,0.0,0.007903605650753338,,,
ascii_text,cover,1,2,5.309624594268073e-21,0.07321461434279733,0.08387105769291828,,,
ascii_text,cover,1,3,3.37607986769577e-91,0.10755389372325902,0.07057450628999633,,,
ascii_text,cover,1,4,3.400812610049536e-64,0.0,0.003949787491226781,,,
ascii_text,cover,1,5,1.0719656290594862e-84,0.0030101537347745435,0.0,,,
