payload_type,variant,seed,payload_bits,ones_fraction,bias,autocorr_lag1,block_chi2_p,shannon_entropy,keyspace_total_bits,keyspace_T3_bits
uniform,no_decomp,0,26214,0.5014114595254444,0.001411459525444414,0.0035397005835453724,0.19466369121293553,0.9999942516663307,112.0,0.0
uniform,T1T2_only,0,26214,0.4985885404745556,0.001411459525444414,0.0035397005835453538,0.21543618289270106,0.9999942516663307,112.0,0.0
uniform,T3_only,0,26214,0.5014114595254444,0.001411459525444414,0.003158424983714486,0.23935836594390514,0.9999942516663307,10986.828046367205,2718.7070115918013
uniform,T4_only,0,26214,0.5019455252918288,0.0019455252918287869,0.002616882320399097,0.15554706078832564,0.9999890785728672,368.0,0.0
uniform,full,0,26214,0.49614709697108417,0.003852903028915833,-0.005972245180862082,0.12706096953081855,0.9999571663592284,11242.828046367205,2718.7070115918013
uniform,no_decomp,1,26214,0.4998855573357748,0.00011444266422522276,-0.00850726593060104,0.5213591119908743,0.9999999622096898,112.0,0.0
uniform,T1T2_only,1,26214,0.5001144426642252,0.00011444266422522276,-0.008507265930601053,0.5849383302910062,0.9999999622096898,112.0,0.0
uniform,T3_only,1,26214,0.4998855573357748,0.00011444266422522276,-0.007744285702177226,0.8982239036257695,0.9999999622096898,10986.828046367205,2718.7070115918013
uniform,T4_only,1,26214,0.50087739375906,0.0008773937590600411,0.0030868648750822553,0.21722456714166424,0.99999777876842,368.0,0.0
uniform,full,1,26214,0.49717708094911117,0.002822919050888828,-0.005029127065915387,0.1428528655248104,0.9999770065737057,11242.828046367205,2718.7070115918013
uniform,no_decomp,2,26214,0.4955367360952163,0.0044632639047836875,0.001103019687995234,0.3236589462534187,0.9999425201752017,112.0,0.0
uniform,T1T2_only,2,26214,0.5044632639047837,0.0044632639047836875,0.001103019687995237,0.29558224292676405,0.9999425201752017,112.0,0.0
uniform,T3_only,2,26214,0.4955367360952163,0.0044632639047836875,0.0017904336211246616,0.7003215777108588,0.9999425201752017,10986.828046367205,2718.7070115918013
uniform,T4_only,2,26214,0.502937361715114,0.0029373617151140508,0.0016059493098080342,0.6580107396407067,0.9999751044403917,368.0,0.0
uniform,full,2,26214,0.5011444266422522,0.0011444266422522276,0.002321686838699843,0.01671543116939979,0.999996220965706,11242.828046367205,2718.7070115918013
uniform,no_decomp,3,26214,0.503089951934081,0.0030899519340810144,-0.000839353940750793,0.03563197640311453,0.9999724506886926,112.0,0.0
uniform,T1T2_only,3,26214,0.496910048065919,0.0030899519340810144,-0.000839353940750789,0.33923365333674443,0.9999724506886926,112.0,0.0
uniform,T3_only,3,26214,0.503089951934081,0.0030899519340810144,-0.0012971595473003452,0.2118856797473762,0.9999724506886926,10986.828046367205,2718.7070115918013
uniform,T4_only,3,26214,0.49752040894178684,0.0024795910582131597,0.002836651616708945,0.11487566200801325,0.9999822594762259,368.0,0.0
uniform,full,3,26214,0.5014877546349279,0.0014877546349278958,-0.004319729263947029,0.5188956151805563,0.9999936134281955,11242.828046367205,2718.7070115918013
uniform,no_decomp,4,26214,0.5020981155107958,0.0020981155107957505,0.009633940957796865,0.22998616680608294,0.9999872982196591,112.0,0.0
uniform,T1T2_only,4,26214,0.49790188448920425,0.0020981155107957505,0.009633940957796874,0.1079815438954772,0.9999872982196591,112.0,0.0
uniform,T3_only,4,26214,0.5020981155107958,0.0020981155107957505,0.011465759296864698,0.14840424521138826,0.9999872982196591,10986.828046367205,2718.7070115918013
uniform,T4_only,4,26214,0.5012207217517357,0.0012207217517357094,0.007356655330375499,0.45984659364138225,0.9999957002982415,368.0,0.0
uniform,full,4,26214,0.5051117723353933,0.005111772335393283,0.005884703933667563,0.5213591119908743,0.9999246028192773,11242.828046367205,2718.7070115918013
ascii_text,no_decomp,0,26214,0.48004882887006944,0.019951171129930556,-0.018977234886325675,0.9999763299415906,0.9988511677267244,112.0,0.0
ascii_text,T1T2_only,0,26214,0.5199511711299306,0.01995117112993061,-0.018977234886325613,1.0,0.9988511677267242,112.0,0.0
ascii_text,T3_only,0,26214,0.48004882887006944,0.019951171129930556,-0.020126634852785805,1.0,0.9988511677267244,10986.828046367205,2718.7070115918013
ascii_text,T4_only,0,26214,0.49668116273746854,0.00331883726253146,-0.00015801099195764896,0.35738816230051673,0.9999682181159568,368.0,0.0
ascii_text,full,0,26214,0.49855039291981385,0.001449607080186155,0.0027001977856442863,0.8258839751208396,0.9999939367462216,11242.828046367205,2718.7070115918013
ascii_text,no_decomp,1,26214,0.48004882887006944,0.019951171129930556,-0.018977234886325675,0.9999763299415906,0.9988511677267244,112.0,0.0
ascii_text,T1T2_only,1,26214,0.5199511711299306,0.01995117112993061,-0.018977234886325613,1.0,0.9988511677267242,112.0,0.0
ascii_text,T3_only,1,26214,0.48004882887006944,0.019951171129930556,-0.020126634852785805,1.0,0.9988511677267244,10986.828046367205,2718.7070115918013
ascii_text,T4_only,1,26214,0.49668116273746854,0.00331883726253146,-0.00015801099195764896,0.35738816230051673,0.9999682181159568,368.0,0.0
ascii_text,full,1,26214,0.49855039291981385,0.001449607080186155,0.0027001977856442863,0.8258839751208396,0.9999939367462216,11242.828046367205,2718.7070115918013
ascii_text,no_decomp,2,26214,0.48004882887006944,0.019951171129930556,-0.018977234886325675,0.9999763299415906,0.9988511677267244,112.0,0.0
ascii_text,T1T2_only,2,26214,0.5199511711299306,0.01995117112993061,-0.018977234886325613,1.0,0.9988511677267242,112.0,0.0
ascii_text,T3_only,2,26214,0.48004882887006944,0.019951171129930556,-0.020126634852785805,1.0,0.9988511677267244,10986.828046367205,2718.7070115918013
ascii_text,T4_only,2,26214,0.49668116273746854,0.00331883726253146,-0.00015801099195764896,0.35738816230051673,0.9999682181159568,368.0,0.0
ascii_text,full,2,26214,0.49855039291981385,0.001449607080186155,0.0027001977856442863,0.8258839751208396,0.9999939367462216,11242.828046367205,2718.7070115918013
ascii_text,no_decomp,3,26214,0.48004882887006944,0.019951171129930556,-0.018977234886325675,0.9999763299415906,0.9988511677267244,112.0,0.0
ascii_text,T1T2_only,3,26214,0.5199511711299306,0.01995117112993061,-0.018977234886325613,1.0,0.9988511677267242,112.0,0.0
ascii_text,T3_only,3,26214,0.48004882887006944,0.019951171129930556,-0.020126634852785805,1.0,0.9988511677267244,10986.828046367205,2718.7070115918013
ascii_text,T4_only,3,26214,0.49668116273746854,0.00331883726253146,-0.00015801099195764896,0.35738816230051673,0.9999682181159568,368.0,0.0
ascii_text,full,3,26214,0.49855039291981385,0.001449607080186155,0.0027001977856442863,0.8258839751208396,0.9999939367462216,11242.828046367205,2718.7070115918013
ascii_text,no_decomp,4,26214,0.48004882887006944,0.019951171129930556,-0.018977234886325675,0.9999763299415906,0.9988511677267244,112.0,0.0
ascii_text,T1T2_only,4,26214,0.5199511711299306,0.01995117112993061,-0.018977234886325613,1.0,0.9988511677267242,112.0,0.0
ascii_text,T3_only,4,26214,0.48004882887006944,0.019951171129930556,-0.020126634852785805,1.0,0.9988511677267244,10986.828046367205,2718.7070115918013
ascii_text,T4_only,4,26214,0.49668116273746854,0.00331883726253146,-0.00015801099195764896,0.35738816230051673,0.9999682181159568,368.0,0.0
ascii_text,full,4,26214,0.49855039291981385,0.001449607080186155,0.0027001977856442863,0.8258839751208396,0.9999939367462216,11242.828046367205,2718.7070115918013
all_zeros,no_decomp,0,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T1T2_only,0,26214,1.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T3_only,0,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,10986.828046367205,2718.7070115918013
all_zeros,T4_only,0,26214,0.5018310826276036,0.001831082627603564,0.0116219138435605,0.056888170121566745,0.9999903256590299,368.0,0.0
all_zeros,full,0,26214,0.498970016021973,0.0010299839780270048,-0.011639739810102096,0.03424381482944935,0.9999969389827297,11242.828046367205,2718.7070115918013
all_zeros,no_decomp,1,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T1T2_only,1,26214,1.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T3_only,1,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,10986.828046367205,2718.7070115918013
all_zeros,T4_only,1,26214,0.5018310826276036,0.001831082627603564,0.0116219138435605,0.056888170121566745,0.9999903256590299,368.0,0.0
all_zeros,full,1,26214,0.498970016021973,0.0010299839780270048,-0.011639739810102096,0.03424381482944935,0.9999969389827297,11242.828046367205,2718.7070115918013
all_zeros,no_decomp,2,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T1T2_only,2,26214,1.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T3_only,2,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,10986.828046367205,2718.7070115918013
all_zeros,T4_only,2,26214,0.5018310826276036,0.001831082627603564,0.0116219138435605,0.056888170121566745,0.9999903256590299,368.0,0.0
all_zeros,full,2,26214,0.498970016021973,0.0010299839780270048,-0.011639739810102096,0.03424381482944935,0.9999969389827297,11242.828046367205,2718.7070115918013
all_zeros,no_decomp,3,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T1T2_only,3,26214,1.0,0.5,0.0,0.0,3.986313713864835e-11,112.0,0.0
all_zeros,T3_only,3,26214,0.0,0.5,0.0,0.0,3.986313713864835e-11,10986.828046367205,2718.7070115918013
