method,rate_bpp,seed,image,image_name,requested_bits,embedded_bits,capacity_limited,blind_extractable,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,ga_evaluations,ga_generations,ga_wall_time_s,ga_converged_at
AMDT,0.05,0,0,im1.jpg,13107,13107,False,True,True,0.024322509765625,64.27071974431516,0.9992561410462759,0.9999900615814862,13107,6376,0.024322509765625,2.0556775407779173,0.049999237060546875,538883.5332496864,0.9992462100205437,41.083186712613774,2388.0,100.0,8.549234582926147,83.0
LSB,0.05,0,0,im1.jpg,13107,13107,False,True,,0.02497100830078125,64.15644281847587,0.9986028836397244,0.9999898691940733,13107,6546,0.02497100830078125,2.0022914757103574,0.049999237060546875,524888.6966086159,0.9985927669877124,39.99008590119567,,,,
LSB-M,0.05,0,0,im1.jpg,13107,13107,False,True,,0.025249481201171875,64.10827901731368,0.9995777568695022,0.9999896920229183,13107,6619,0.025249481201171875,1.9802084907085662,0.049999237060546875,519099.7745883064,0.999567453244893,39.58764321852685,,,,
EA-LSB,0.05,0,0,im1.jpg,13107,13107,False,True,,0.025035858154296875,64.14517878562648,0.999982926103953,0.9999897940719066,13107,6563,0.025035858154296875,1.9971049824775255,0.049999237060546875,523529.08852658846,0.9999727203501145,39.9416195038032,,,,
PVD,0.05,0,0,im1.jpg,13107,13107,False,True,,0.12880706787109375,57.031406666857485,0.9981602533214938,0.9999474014007169,13107,6818,0.02600860595703125,1.9224112643003815,0.049999237060546875,101756.83847657406,0.9981077514903091,7.748858567987786,,,,
GA-FT,0.05,0,0,im1.jpg,13107,13107,False,True,True,0.0248870849609375,64.17106330451334,0.9986483630587062,0.9999898965609031,13107,6524,0.0248870849609375,2.0090435315757205,0.049999237060546875,526658.7075413857,0.9986382732757908,40.12676755205532,641.0,40.0,1.9861985000316054,15.0
WOW,0.05,0,0,im1.jpg,13107,13107,False,False,,0.013874053955078125,66.7087698176486,0.9999801930716312,0.9999943425896962,13107,3637,0.013874053955078125,3.6037943359912017,0.049999237060546875,944713.0624140776,0.9999745357733834,72.07515114263893,,,,
S-UNIWARD,0.05,0,0,im1.jpg,13107,13107,False,False,,0.01092529296875,67.74647269183754,0.999984035448988,0.9999955396396368,13107,2864,0.01092529296875,4.5764664804469275,0.049999237060546875,1199693.2290502794,0.9999795751598324,91.52885675652901,,,,
HILL,0.05,0,0,im1.jpg,13107,13107,False,False,,0.01485443115234375,66.41224335635559,0.9999855229189507,0.9999939392052067,13107,3894,0.01485443115234375,3.3659476117103235,0.049999237060546875,882362.970724191,0.9999794622119,67.31859685209973,,,,
MiPOD-lite,0.05,0,0,im1.jpg,13107,13107,False,False,,0.012149810791015625,67.28510846148203,0.9999927322629754,0.9999950443032928,13107,3185,0.012149810791015625,4.115227629513344,0.049999237060546875,1078782.231711146,0.9999877766022849,82.30480242060577,,,,
AMDT,0.05,0,1,im10.jpg,13107,13107,False,True,True,0.024623870849609375,64.21724036217132,0.9998803532449548,0.9999944361059442,13107,6455,0.024623870849609375,2.030518977536793,0.049999237060546875,532288.3668474051,0.9998747900166008,40.605914322867825,1408.0,59.0,5.200987791991793,34.0
LSB,0.05,0,1,im10.jpg,13107,13107,False,True,,0.02503204345703125,64.14584056769543,0.9998482857087655,0.9999943439180711,13107,6562,0.02503204345703125,1.9974093264248705,0.049999237060546875,523608.87046632124,0.999842630484945,39.94250937608129,,,,
LSB-M,0.05,0,1,im10.jpg,13107,13107,False,True,,0.0247802734375,64.18974266586453,0.9998924793625816,0.999994400786345,13107,6496,0.0247802734375,2.0177032019704435,0.049999237060546875,528928.78817734,0.9998868807509577,40.35011491188101,,,,
EA-LSB,0.05,0,1,im10.jpg,13107,13107,False,True,,0.025074005126953125,64.13856650539203,0.9999876314696305,0.9999943343932983,13107,6573,0.025074005126953125,1.9940666362391601,0.049999237060546875,522732.6042902784,0.9999819659330041,39.881222041311645,,,,
PVD,0.05,0,1,im10.jpg,13107,13107,False,True,,0.15427398681640625,56.24787657970686,0.9994384513193735,0.9999651554514564,13107,6537,0.024936676025390625,2.005048187241854,0.049999237060546875,84959.23564611048,0.9994036263377402,6.478108506569422,,,,
GA-FT,0.05,0,1,im10.jpg,13107,13107,False,True,True,0.024810791015625,64.1843975023356,0.9998482404933595,0.9999943939325509,13107,6504,0.024810791015625,2.015221402214022,0.049999237060546875,528278.1992619926,0.9998426352766844,40.29870045848265,444.0,26.0,1.4887319160625339,1.0
WOW,0.05,0,1,im10.jpg,13107,13107,False,False,,0.006740570068359375,69.84383733312808,0.9999895425467228,0.9999984769518784,13107,1767,0.006740570068359375,7.417657045840407,0.049999237060546875,1944494.2886247877,0.9999880195145284,148.3536272708639,,,,
