method,rate_bpp,mean,std,count
AMDT,0.05,8.857700777555623,3.265342237492559,145
AMDT,0.1,9.740186447106655,1.9271552612731173,145
AMDT,0.2,10.42911865628196,2.1235218830643663,145
AMDT,0.4,12.872134237360724,2.5768163913504445,145
GA-FT,0.05,1.9554114281039299,0.7671419292476749,145
GA-FT,0.1,2.1054206605807972,0.44412966744852717,145
GA-FT,0.2,2.3692653422693497,0.49225941616393826,145
GA-FT,0.4,4.029809446844818,0.9913770404697907,145
